17.172.232.209,172.16.46.234,5,148,1381241521.387585,1381241526.327872,1.414117,0,0,0.000000,0.000000,0.000000
74.125.135.84,172.16.47.254,11,6205,1381241515.158688,1381241516.175452,0.009166,12,2863,1381241515.158302,1381241516.175506,0.001636
74.125.135.125,172.16.47.254,2,26,1381241516.919667,1381241527.045491,10.125824,2,0,1381241516.777075,1381241527.045547,10.268472
74.125.236.99,172.16.47.254,27,12023,1381241516.183117,1381241531.381654,0.002099,30,8908,1381241516.182884,1381241531.381377,0.000697
74.125.236.111,172.16.47.254,33,16868,1381241516.182140,1381241523.101729,0.010431,40,2709,1381241516.181904,1381241526.745129,0.001184
74.125.236.125,172.16.47.254,18,8316,1381241516.269762,1381241524.069102,0.016158,21,3149,1381241516.269489,1381241524.069122,0.000810
74.125.236.180,172.16.47.254,19,7889,1381241516.183697,1381241522.638451,0.000976,22,2568,1381241516.183536,1381241522.638503,0.000377
172.16.0.30,172.16.47.254,25,2357,1381241515.066695,1381241531.077939,0.001436,25,904,1381241515.066307,1381241530.983530,0.000294
172.16.35.35,172.16.47.90,1,79,1381241517.343985,1381241517.343985,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.2,255.255.255.255,2,600,1381241515.617013,1381241521.450431,5.833418,0,0,0.000000,0.000000,0.000000
172.16.46.3,255.255.255.255,2,600,1381241515.615970,1381241521.451864,5.835894,0,0,0.000000,0.000000,0.000000
172.16.46.4,255.255.255.255,2,600,1381241515.615972,1381241521.449934,5.833962,0,0,0.000000,0.000000,0.000000
172.16.46.5,255.255.255.255,2,600,1381241515.615498,1381241521.455883,5.840385,0,0,0.000000,0.000000,0.000000
172.16.46.6,255.255.255.255,2,600,1381241515.616298,1381241521.450185,5.833887,0,0,0.000000,0.000000,0.000000
172.16.46.7,255.255.255.255,2,600,1381241515.615960,1381241521.453132,5.837172,0,0,0.000000,0.000000,0.000000
172.16.46.8,255.255.255.255,2,600,1381241515.620932,1381241521.451320,5.830388,0,0,0.000000,0.000000,0.000000
172.16.46.9,255.255.255.255,2,600,1381241515.617022,1381241521.449909,5.832887,0,0,0.000000,0.000000,0.000000
172.16.46.19,172.16.47.255,1,40,1381241528.380552,1381241528.380552,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.19,255.255.255.255,1,40,1381241524.363068,1381241524.363068,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.43,172.16.47.255,6,395,1381241513.205332,1381241521.439056,0.754085,0,0,0.000000,0.000000,0.000000
172.16.46.43,224.0.0.252,3,66,1381241512.866902,1381241515.128020,1.850282,0,0,0.000000,0.000000,0.000000
172.16.46.43,255.255.255.255,3,435,1381241521.425850,1381241521.439363,0.013187,0,0,0.000000,0.000000,0.000000
172.16.46.112,172.16.47.255,148,7400,1381241513.087010,1381241531.316627,0.001065,0,0,0.000000,0.000000,0.000000
172.16.46.112,224.0.0.252,102,2448,1381241512.975391,1381241531.513308,0.000243,0,0,0.000000,0.000000,0.000000
172.16.46.114,172.16.47.255,1,112,1381241518.440596,1381241518.440596,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.114,255.255.255.255,3,336,1381241518.433948,1381241518.440592,0.006607,0,0,0.000000,0.000000,0.000000
172.16.46.123,172.16.47.255,6,300,1381241522.864439,1381241524.480284,0.116260,0,0,0.000000,0.000000,0.000000
172.16.46.123,224.0.0.252,4,88,1381241522.565091,1381241522.780609,0.099492,0,0,0.000000,0.000000,0.000000
172.16.46.139,172.16.47.255,1,112,1381241528.998949,1381241528.998949,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.174,172.16.47.255,1,114,1381241515.875770,1381241515.875770,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.174,255.255.255.255,1,114,1381241515.875753,1381241515.875753,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.176,172.16.255.255,1,112,1381241528.593017,1381241528.593017,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.176,255.255.255.255,3,336,1381241528.589635,1381241528.592996,0.003088,0,0,0.000000,0.000000,0.000000
172.16.46.189,172.16.47.255,6,300,1381241530.094065,1381241530.864401,0.018690,0,0,0.000000,0.000000,0.000000
172.16.46.189,224.0.0.252,8,176,1381241529.793346,1381241531.550277,0.018931,0,0,0.000000,0.000000,0.000000
172.16.46.189,255.255.255.255,1,300,1381241529.798365,1381241529.798365,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.201,172.16.47.255,24,1200,1381241513.959020,1381241516.024022,0.053104,0,0,0.000000,0.000000,0.000000
172.16.46.201,224.0.0.252,16,352,1381241513.657882,1381241514.323056,0.035047,0,0,0.000000,0.000000,0.000000
172.16.46.201,255.255.255.255,1,300,1381241513.708828,1381241513.708828,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.205,172.16.47.255,16,800,1381241512.815529,1381241526.425171,0.671654,0,0,0.000000,0.000000,0.000000
172.16.46.205,224.0.0.252,10,220,1381241516.369164,1381241525.335859,0.410407,0,0,0.000000,0.000000,0.000000
172.16.46.208,172.16.47.255,2,154,1381241516.181709,1381241525.948385,9.766676,0,0,0.000000,0.000000,0.000000
172.16.46.208,255.255.255.255,2,228,1381241525.944403,1381241525.948361,0.003958,0,0,0.000000,0.000000,0.000000
172.16.46.232,172.16.46.255,1,103,1381241530.166795,1381241530.166795,0.000000,0,0,0.000000,0.000000,0.000000
172.16.46.232,255.255.255.255,1,103,1381241530.166764,1381241530.166764,0.000000,0,0,0.000000,0.000000,0.000000
